eem_id,document,cat_lev1,cat_lev2,eem_name,tags,type,uni_code,uni_code_manual,match
1281,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Repair or replace existing condensate return systems or install new condensate return systems,Return,Descriptor,D3040,D3040,1
1282,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add recirculating pumps,Pump,Descriptor,X0000,D2020,0
1283,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace or upgrade water heater,Water heater,Element,D2020,D2020,1
1284,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add energy recovery,Energy recovery,Descriptor,X0000,D3040,0
1285,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install solar hot water system,Hot water,Descriptor,X0000,D2020,0
1286,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Separate SHW from heating,SHW,Element,D2020,D2020,1
1287,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace with higher efficiency pump,Pump,Descriptor,X0000,D3040,0
1288,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace with variable speed pump,Pump,Descriptor,X0000,D3040,0
1289,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install or upgrade master venting,NA,NA,NA,D3040,0
1290,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace steam traps with orifice plates,Steam,Descriptor,X0000,D3040,0
1291,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install steam condensate heat recovery,Steam,Descriptor,X0000,D3040,0
1291,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install steam condensate heat recovery,Heat recovery,Descriptor,X0000,D3040,0
1292,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Clean and/or repair,NA,NA,NA,D3040,0
1293,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Implement training and/or documentation,NA,NA,NA,D3040,0
1294,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D3040,0
1295,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Other,NA,NA,NA,D3040,0
1296,BSYNC,Chiller Plant Improvements,0,Add energy recovery,Energy recovery,Descriptor,X0000,D3030,0
1297,BSYNC,Chiller Plant Improvements,0,Install VSD on electric centrifugal chillers,VSD,Descriptor,X0000,D3030,0
1297,BSYNC,Chiller Plant Improvements,0,Install VSD on electric centrifugal chillers,Centrifugal,Descriptor,X0000,D3030,0
1297,BSYNC,Chiller Plant Improvements,0,Install VSD on electric centrifugal chillers,Chiller,Element,D3030,D3030,1
1298,BSYNC,Chiller Plant Improvements,0,Replace chiller,Chiller,Element,D3030,D3030,1
1299,BSYNC,Chiller Plant Improvements,0,Install gas cooling,NA,NA,NA,D3030,0
1300,BSYNC,Chiller Plant Improvements,0,Add or repair economizer cycle,Economizer,Element,D3040,D3030,0
1301,BSYNC,Chiller Plant Improvements,0,Add or replace cooling tower,Cooling tower,Element,D3030,D3030,1
1302,BSYNC,Chiller Plant Improvements,0,Clean and/or repair,NA,NA,NA,D3030,0
1303,BSYNC,Chiller Plant Improvements,0,Implement training and/or documentation,NA,NA,NA,D3030,0
1304,BSYNC,Chiller Plant Improvements,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D3030,0
1305,BSYNC,Chiller Plant Improvements,0,Other,NA,NA,NA,D3030,0
1306,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Add elevator regenerative drives,Elevator,Element,D1010,D1010,1
1307,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Upgrade controls,controls,Element,D3060,D1010,0
1308,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Upgrade motors,Motor,Descriptor,X0000,D1010,0
1309,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Clean and/or repair,NA,NA,NA,D1010,0
1310,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Implement training and/or documentation,NA,NA,NA,D1010,0
1311,BSYNC,"Conveyance Systems (e.g., Elevators)",0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D1010,0
1312,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Other,NA,NA,NA,D1010,0
1313,BSYNC,Data center energy conservation improvements,0,Improve data center efficiency,Data Center,Element,E1010,E1010,1
1314,BSYNC,Data center energy conservation improvements,0,Implement hot aisle hold aisle design,NA,NA,NA,E1010,0
1315,BSYNC,Data center energy conservation improvements,0,Implement server virtualization,Server,Element,E1010,E1010,1
1316,BSYNC,Data center energy conservation improvements,0,Upgrade servers,Server,Element,E1010,E1010,1
1317,BSYNC,Data center energy conservation improvements,0,Clean and/or repair,NA,NA,NA,E1010,0
1318,BSYNC,Data center energy conservation improvements,0,Implement training and/or documentation,NA,NA,NA,E1010,0
1319,BSYNC,Data center energy conservation improvements,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,E1010,0
1320,BSYNC,Data center energy conservation improvements,0,Other,NA,NA,NA,E1010,0
1321,BSYNC,Distributed Generation,0,Install CHP/cogeneration systems,CHP,Descriptor,D3010,D3010,1
1321,BSYNC,Distributed Generation,0,Install CHP/cogeneration systems,cogeneration,Descriptor,D3010,D3010,1
1322,BSYNC,Distributed Generation,0,Install fuel cells,Fuel cell,Descriptor,D3010,D3010,1
1323,BSYNC,Distributed Generation,0,Install microturbines,Microturbine,Descriptor,D3010,D3010,1
1324,BSYNC,Distributed Generation,0,Convert fuels,NA,NA,NA,D3010,0
1325,BSYNC,Distributed Generation,0,Clean and/or repair,NA,NA,NA,D3010,0
1326,BSYNC,Distributed Generation,0,Implement training and/or documentation,NA,NA,NA,D3010,0
1327,BSYNC,Distributed Generation,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D3010,0
1328,BSYNC,Distributed Generation,0,Other,NA,NA,NA,D3010,0
1329,BSYNC,Electrical Peak Shaving/Load Shifting,0,Install thermal energy storage,Thermal energy storage,Element,D3030,D3030,1
1330,BSYNC,Electrical Peak Shaving/Load Shifting,0,Implement training and/or documentation,NA,NA,NA,X0000,0
1331,BSYNC,Electrical Peak Shaving/Load Shifting,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,X0000,0
1332,BSYNC,Electrical Peak Shaving/Load Shifting,0,Other,NA,NA,NA,X0000,0
1333,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Change to more favorable rate schedule,NA,NA,NA,D5010,0
1334,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Energy cost reduction through rate adjustments - uncategorized,NA,NA,NA,D5010,0
1335,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Energy service billing and meter auditing recommendations,Meter,Element,D5010,D5010,1
1336,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Change to lower energy cost supplier(s),NA,NA,NA,D5010,0
1337,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Other,NA,NA,NA,D5010,0
1338,BSYNC,Energy/Utility Distribution Systems,0,Implement power factor corrections,Power factor correction,Element,D5090,D5090,1
1339,BSYNC,Energy/Utility Distribution Systems,0,Implement power quality upgrades,NA,NA,NA,D5090,0
1340,BSYNC,Energy/Utility Distribution Systems,0,Upgrade transformers,Transformer,Element,D5010,D5010,1
1341,BSYNC,Energy/Utility Distribution Systems,0,Install gas distribution systems,NA,NA,NA,D3010,0
1342,BSYNC,Energy/Utility Distribution Systems,0,Clean and/or repair,NA,NA,NA,D3010,0
1343,BSYNC,Energy/Utility Distribution Systems,0,Implement training and/or documentation,NA,NA,NA,D3010,0
1344,BSYNC,Energy/Utility Distribution Systems,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D3010,0
1345,BSYNC,Energy/Utility Distribution Systems,0,Other,NA,NA,NA,D3010,0
1346,BSYNC,Energy Related Process Improvements,0,Implement industrial process improvements,NA,NA,NA,X0000,0
1347,BSYNC,Energy Related Process Improvements,0,Implement production and/or manufacturing improvements,NA,NA,NA,X0000,0
1348,BSYNC,Energy Related Process Improvements,0,Clean and/or repair,NA,NA,NA,X0000,0
